# antenna=Vivaldi (Exponential TSA)    unit=mm
# Curve 0: Upper taper edge (slot half-width)
#   y_upper(x) = (w0/2) · exp(R · x),   clipped at W_ap/2
#   where  w0=1.24914 mm, R=0.0682391 1/mm, W_ap=74.9481 mm, x in [0, 60] mm
curve,i,x_mm,y_mm
0,0,0.000000,0.624568
0,1,1.016949,0.669449
0,2,2.033898,0.717556
0,3,3.050847,0.769120
0,4,4.067797,0.824389
0,5,5.084746,0.883630
0,6,6.101695,0.947127
0,7,7.118644,1.015188
0,8,8.135593,1.088140
0,9,9.152542,1.166334
0,10,10.169492,1.250147
0,11,11.186441,1.339983
0,12,12.203390,1.436274
0,13,13.220339,1.539485
0,14,14.237288,1.650113
0,15,15.254237,1.768690
0,16,16.271186,1.895789
0,17,17.288136,2.032021
0,18,18.305085,2.178042
0,19,19.322034,2.334557
0,20,20.338983,2.502319
0,21,21.355932,2.682136
0,22,22.372881,2.874875
0,23,23.389831,3.081464
0,24,24.406780,3.302899
0,25,25.423729,3.540246
0,26,26.440678,3.794648
0,27,27.457627,4.067333
0,28,28.474576,4.359612
0,29,29.491525,4.672895
0,30,30.508475,5.008690
0,31,31.525424,5.368616
0,32,32.542373,5.754406
0,33,33.559322,6.167919
0,34,34.576271,6.611147
0,35,35.593220,7.086225
0,36,36.610169,7.595443
0,37,37.627119,8.141253
0,38,38.644068,8.726286
0,39,39.661017,9.353358
0,40,40.677966,10.025493
0,41,41.694915,10.745927
0,42,42.711864,11.518132
0,43,43.728814,12.345828
0,44,44.745763,13.233002
0,45,45.762712,14.183928
0,46,46.779661,15.203188
0,47,47.796610,16.295693
0,48,48.813559,17.466705
0,49,49.830508,18.721867
0,50,50.847458,20.067224
0,51,51.864407,21.509260
0,52,52.881356,23.054920
0,53,53.898305,24.711652
0,54,54.915254,26.487437
0,55,55.932203,28.390830
0,56,56.949153,30.431002
0,57,57.966102,32.617780
0,58,58.983051,34.961701
0,59,60.000000,37.474057
# Curve 1: Lower taper edge (mirror)
#   y_lower(x) = −(w0/2) · exp(R · x),  clipped at −W_ap/2
#   where  w0=1.24914 mm, R=0.0682391 1/mm, W_ap=74.9481 mm, x in [0, 60] mm
curve,i,x_mm,y_mm
1,0,0.000000,-0.624568
1,1,1.016949,-0.669449
1,2,2.033898,-0.717556
1,3,3.050847,-0.769120
1,4,4.067797,-0.824389
1,5,5.084746,-0.883630
1,6,6.101695,-0.947127
1,7,7.118644,-1.015188
1,8,8.135593,-1.088140
1,9,9.152542,-1.166334
1,10,10.169492,-1.250147
1,11,11.186441,-1.339983
1,12,12.203390,-1.436274
1,13,13.220339,-1.539485
1,14,14.237288,-1.650113
1,15,15.254237,-1.768690
1,16,16.271186,-1.895789
1,17,17.288136,-2.032021
1,18,18.305085,-2.178042
1,19,19.322034,-2.334557
1,20,20.338983,-2.502319
1,21,21.355932,-2.682136
1,22,22.372881,-2.874875
1,23,23.389831,-3.081464
1,24,24.406780,-3.302899
1,25,25.423729,-3.540246
1,26,26.440678,-3.794648
1,27,27.457627,-4.067333
1,28,28.474576,-4.359612
1,29,29.491525,-4.672895
1,30,30.508475,-5.008690
1,31,31.525424,-5.368616
1,32,32.542373,-5.754406
1,33,33.559322,-6.167919
1,34,34.576271,-6.611147
1,35,35.593220,-7.086225
1,36,36.610169,-7.595443
1,37,37.627119,-8.141253
1,38,38.644068,-8.726286
1,39,39.661017,-9.353358
1,40,40.677966,-10.025493
1,41,41.694915,-10.745927
1,42,42.711864,-11.518132
1,43,43.728814,-12.345828
1,44,44.745763,-13.233002
1,45,45.762712,-14.183928
